ticks,col0,col1,col2,col3,col4,col5
0.106944444,0.043054005,0.041807051,0.039435136,0.041704103,0.042002394,0.044669768
0.107638889,0.037781539,0.039435136,0.041704103,0.042002394,0.044669768,0.043054005
0.108333333,0.042034823,0.041704103,0.042002394,0.044669768,0.043054005,0.037781539
0.109027778,0.049457093,0.042002394,0.044669768,0.043054005,0.037781539,0.042034823
0.109722222,0.04398671,0.044669768,0.043054005,0.037781539,0.042034823,0.049457093
0.110416667,0.040858388,0.043054005,0.037781539,0.042034823,0.049457093,0.04398671
0.111111111,0.040719923,0.037781539,0.042034823,0.049457093,0.04398671,0.040858388
0.111805556,0.050381563,0.042034823,0.049457093,0.04398671,0.040858388,0.040719923
0.1125,0.041305438,0.049457093,0.04398671,0.040858388,0.040719923,0.050381563
0.113194444,0.033273203,0.04398671,0.040858388,0.040719923,0.050381563,0.041305438
0.113888889,0.023665869,0.040858388,0.040719923,0.050381563,0.041305438,0.033273203
0.114583333,0.035442053,0.040719923,0.050381563,0.041305438,0.033273203,0.023665869
0.115277778,0.024836899,0.050381563,0.041305438,0.033273203,0.023665869,0.035442053
0.115972222,0.035037984,0.041305438,0.033273203,0.023665869,0.035442053,0.024836899
0.116666667,0.031069351,0.033273203,0.023665869,0.035442053,0.024836899,0.035037984
0.117361111,0.028260938,0.023665869,0.035442053,0.024836899,0.035037984,0.031069351
