datetime,val0,temp,demand
9/30/13 05:06,3366.866,33,3359.787
9/30/13 05:07,3445.442,32,3366.866
9/30/13 05:08,3429.769,33,3445.442
9/30/13 05:09,3430.601,30,3429.769
9/30/13 05:10,3389.238,35,3430.601
9/30/13 05:11,3403.447,33,3389.238
9/30/13 05:12,3439.227,34,3403.447
9/30/13 05:13,3481.022,32,3439.227
9/30/13 05:14,3534.193,31,3481.022
9/30/13 05:15,3476.419,32,3534.193
9/30/13 05:16,3450.097,33,3476.419
9/30/13 05:17,3537.016,32,3450.097
9/30/13 05:18,3624.187,30,3537.016
9/30/13 05:19,3690.924,31,3624.187
9/30/13 05:20,3648.339,31,3690.924
9/30/13 05:21,3635.584,33,3648.339
9/30/13 05:22,3677,35,3635.584
9/30/13 05:23,3698.74,30,3677
9/30/13 05:24,3704.522,33,3698.74
9/30/13 05:25,3779.212,30,3704.522
9/30/13 05:26,3782.404,35,3779.212
9/30/13 05:27,3877.053,35,3782.404
9/30/13 05:28,3911.78,34,3877.053
9/30/13 05:29,3888.06,30,3911.78
9/30/13 05:30,3971.724,34,3888.06
9/30/13 05:31,4027.348,35,3971.724
9/30/13 05:32,4123.915,30,4027.348
9/30/13 05:33,4504.757,34,4123.915
9/30/13 05:34,4679.11,34,4504.757
9/30/13 05:35,4691.35,33,4679.11
9/30/13 05:36,4682.649,34,4691.35
9/30/13 05:37,4748.122,35,4682.649
9/30/13 05:38,4761.815,35,4748.122
9/30/13 05:39,4798.586,30,4761.815
9/30/13 05:40,4854.105,34,4798.586
9/30/13 05:41,4912.3,35,4854.105
9/30/13 05:42,4964.186,31,4912.3
9/30/13 05:43,4946.754,32,4964.186
9/30/13 05:44,5017.525,31,4946.754
9/30/13 05:45,5128.616,35,5017.525
9/30/13 05:46,5111.774,32,5128.616
9/30/13 05:47,5220.359,34,5111.774
9/30/13 05:48,5178.206,30,5220.359
9/30/13 05:49,5188.307,30,5178.206
9/30/13 05:50,5170.623,34,5188.307
9/30/13 05:51,5161.669,30,5170.623
9/30/13 05:52,5239.571,34,5161.669
9/30/13 05:53,5338.676,30,5239.571
9/30/13 05:54,5360.753,33,5338.676
9/30/13 05:55,5321.866,33,5360.753
9/30/13 05:56,5527.817,30,5321.866
9/30/13 05:57,5683.211,34,5527.817
9/30/13 05:58,5658.943,31,5683.211
9/30/13 05:59,5592.743,30,5658.943
9/30/13 06:00,5721.446,35,5592.743
9/30/13 06:01,5848.6,34,5721.446
9/30/13 06:02,5950.423,31,5848.6
9/30/13 06:03,5965.991,30,5950.423
9/30/13 06:04,6061.62,31,5965.991
9/30/13 06:05,6082.412,33,6061.62
9/30/13 06:06,6065.043,35,6082.412
9/30/13 06:07,6084.319,35,6065.043
9/30/13 06:08,6169.794,32,6084.319
9/30/13 06:09,6078.81,32,6169.794
9/30/13 06:10,6163.348,31,6078.81
9/30/13 06:11,6227.726,31,6163.348
9/30/13 06:12,6162.463,30,6227.726
9/30/13 06:13,6065.159,32,6162.463
9/30/13 06:14,6016.865,30,6065.159
9/30/13 06:15,5918.897,35,6016.865
9/30/13 06:16,5978.831,33,5918.897
9/30/13 06:17,5907.216,33,5978.831
9/30/13 06:18,5920.815,30,5907.216
9/30/13 06:19,6022.964,32,5920.815
9/30/13 06:20,6077.798,31,6022.964
9/30/13 06:21,6081.433,33,6077.798
9/30/13 06:22,6096.6,30,6081.433
9/30/13 06:23,6128.02,33,6096.6
9/30/13 06:24,6186.857,34,6128.02
9/30/13 06:25,6353.553,34,6186.857
9/30/13 06:26,6483.214,30,6353.553
9/30/13 06:27,6493.937,34,6483.214
